,station_id,year_2019,year_2020,abs_change,pct_change
0,40010,140717,25533,-115184,-0.8185507081589289
1,40020,284197,68098,-216099,-0.7603845220041028
2,40030,125606,40887,-84719,-0.6744821107271946
3,40040,564445,29337,-535108,-0.9480250511564458
4,40050,286127,41275,-244852,-0.855745875083442
5,40060,376821,57930,-318891,-0.8462665297316232
6,40070,510782,48082,-462700,-0.9058659075691783
7,40080,391099,39879,-351220,-0.8980334902416013
8,40090,216426,17626,-198800,-0.9185587683550036
9,40100,353289,64331,-288958,-0.817908284718743
10,40120,228649,31174,-197475,-0.8636600203805833
11,40130,71989,19619,-52370,-0.7274722527052744
12,40140,153727,20467,-133260,-0.866861384142018
13,40150,83565,25848,-57717,-0.6906838987614432
14,40160,210912,17889,-193023,-0.9151826354119253
15,40170,185397,33666,-151731,-0.8184113011537404
16,40180,130735,13028,-117707,-0.9003480322790377
17,40190,391054,48715,-342339,-0.8754264116976173
18,40210,117718,19870,-97848,-0.8312067823102669
19,40220,125930,25787,-100143,-0.7952275073453506
20,40230,323065,40976,-282089,-0.8731648429882531
21,40240,502123,155066,-347057,-0.6911792528922196
22,40250,142371,44327,-98044,-0.6886514809898083
23,40260,972064,85968,-886096,-0.9115613786746551
24,40270,93269,13351,-79918,-0.8568549035585242
25,40280,151060,50265,-100795,-0.6672514232755197
26,40290,79411,25198,-54213,-0.6826887962624826
27,40300,60230,14287,-45943,-0.762792628258343
28,40310,276038,53800,-222238,-0.8050992979227498
29,40320,481892,37518,-444374,-0.9221443808986246
30,40330,990372,58163,-932209,-0.9412715626047586
31,40340,258445,45752,-212693,-0.8229720056491711
32,40350,371514,28058,-343456,-0.9244766011509661
33,40360,283976,15924,-268052,-0.943924838718765
34,40370,1063593,72237,-991356,-0.9320821028344489
35,40380,1511104,103260,-1407844,-0.9316658548981407
36,40390,238494,59840,-178654,-0.7490922203493589
37,40400,73186,5644,-67542,-0.9228814254092312
38,40420,96611,28732,-67879,-0.7026011530778069
39,40430,237087,22726,-214361,-0.9041448919594917
40,40440,108185,24419,-83766,-0.774284789943153
41,40450,721184,231862,-489322,-0.6784981363979234
42,40460,588872,19728,-569144,-0.9664986618484153
43,40470,160739,14907,-145832,-0.9072595947467634
44,40480,95952,31689,-64263,-0.6697411205602801
45,40490,232487,19639,-212848,-0.9155264595439745
46,40510,84491,21392,-63099,-0.7468132700524316
47,40520,68095,6899,-61196,-0.898685659740069
48,40530,422089,36514,-385575,-0.9134921781899078
49,40540,510369,107825,-402544,-0.7887312904976596
50,40550,330147,49793,-280354,-0.8491793049762681
51,40560,664665,50775,-613890,-0.9236081334205953
